"regional","regra"
32004,"(inc_3 > 18 & temp_min_1 > 23.9 & umid_min_2 <= 66) | (inc_3 > 18 & temp_min_1 <= 23.9 & temp_min_2 > 21.3) | (inc_3 <= 18 & inc_3 > 3.4 & temp_min_3 > 24.6) | (inc_3 > 18 & temp_min_1 > 23.9 & umid_min_2 > 66) | (inc_3 > 55.8 & temp_min_1 > 19.9) | (inc_3 <= 55.8 & temp_min_3 > 19.9 & inc_3 > 5.8)"
52001,"(inc_3 > 25.8 & temp_min_1 <= 18.4 & temp_min_2 > 20.3) | (inc_3 > 25.8 & temp_min_1 > 18.4 & temp_max_2 > 28.6) | (inc_3 > 25.8 & temp_min_1 > 18.4 & temp_max_2 <= 28.6) | (inc_3 <= 25.8 & inc_3 > 0 & temp_min_1 > 19.9)"
52011,"(temp_min_3 > 19.9 & inc_3 > 0 & umid_max_1 > 74.2)"
52015,"(inc_3 > 87.6 & umid_min_3 > 45.1) | (inc_3 <= 87.6 & inc_3 > 3.4 & temp_min_1 > 19.2)"
52010,"(inc_3 > 17.8 & temp_min_2 > 17.1)"
52003,"(umid_max_3 > 93.1 & inc_3 > 12.2 & temp_min_1 > 17.6) | (umid_max_3 > 93.1 & inc_3 <= 12.2 & inc_3 > 4.1)"
52017,"(umid_max_1 > 96.1)"
52004,"(inc_3 > 7.6 & temp_min_3 > 18.6) | (inc_3 > 7.6 & temp_min_3 <= 18.6)"
52014,"(inc_3 > 45.6)"
52007,"(inc_3 > 35.6 & temp_max_1 > 29.3 & umid_max_3 > 86) | (inc_3 > 35.6 & temp_max_1 <= 29.3 & umid_max_1 > 89.6) | (inc_3 <= 35.6 & inc_3 > 2.7 & temp_min_1 > 17.6)"
52012,"(inc_3 > 0 & temp_min_1 > 19.9 & temp_max_2 > 27.1) | (inc_3 > 0 & temp_min_1 <= 19.9 & temp_min_1 > 18) | (inc_3 <= 23.3 & inc_3 > 4.5 & temp_max_3 > 33.9) | (inc_3 > 23.3 & temp_min_1 <= 19.7 & umid_max_1 > 98) | (inc_3 > 23.3 & temp_min_1 > 19.7)"
52005,"(inc_3 > 50.9 & umid_max_1 > 83.6 & temp_min_1 > 19.9)"
52002,"(temp_min_3 > 17.8 & inc_3 > 32.4) | (temp_min_3 > 17.8 & inc_3 <= 32.4 & inc_3 > 1.4)"
52016,"(inc_3 > 20.9)"
52018,"(inc_3 <= 57.9 & temp_min_3 > 20.9 & umid_min_1 <= 35.9) | (inc_3 > 57.9)"
52006,"(inc_3 > 2 & temp_max_2 <= 30.9) | (inc_3 > 2 & temp_max_2 > 30.9)"
52013,"(inc_3 > 0.8 & umid_min_2 > 59.1)"
